"id","name","src","duration"
1,"Avatar","image/IMG_5841.JPG",162
2,"Dune","image/IMG_5842.JPG",155
3,"To All the Boy I've Loved Before","image/IMG_5840.JPG",99
4,"Little Woman","image/IMG_5839.JPG",135
5,"Fresh","image/IMG_5838.JPG",117
6,"Before Sunrise","image/IMG_5836.JPG",105
7,"Everything Everywhere All at Once","image/IMG_5837.JPG",140
8,"Enola Holmes","image/IMG_5833.JPG",123
9,"Call Me By Your Name","image/IMG_5835.JPG",130
10,"Princess Mononoke","image/IMG_5834.JPG",124
